init_angle,init_speed,X,Y,time
,,689.4291117,223.1451117,9.75
,,690.1362184,222.8957384,9.76
,,690.8433252,222.6453852,9.77
,,691.550432,222.394052,9.78
,,692.2575388,222.1417388,9.79
,,692.9646456,221.8884456,9.8
,,693.6717523,221.6341723,9.81
,,694.3788591,221.3789191,9.82
,,695.0859659,221.1226859,9.83
,,695.7930727,220.8654727,9.84
,,696.5001795,220.6072795,9.85
,,697.2072862,220.3481062,9.86
,,697.914393,220.087953,9.87
,,698.6214998,219.8268198,9.88
,,699.3286066,219.5647066,9.89
,,700.0357134,219.3016134,9.9
,,700.7428202,219.0375402,9.91
,,701.4499269,218.7724869,9.92
,,702.1570337,218.5064537,9.93
